category_id,category_name,parent_category,url
,Cuisine,,https://www.bricodepot.fr/produits/cuisine
,Salle de bain et WC,,https://www.bricodepot.fr/produits/salle-de-bain-et-wc
,Dressing et rangement,,https://www.bricodepot.fr/produits/dressing-et-rangement
,Terrasse et jardin,,https://www.bricodepot.fr/produits/terrasse-et-jardin
,Matériau et gros œuvre,,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre
,"Chauffage, clim et ventilation",,https://www.bricodepot.fr/produits/chauffage-clim-et-ventilation
,"Fenêtre, porte et escalier",,https://www.bricodepot.fr/produits/fenetre-porte-et-escalier
,"Carrelage, stratifié et parquet",,https://www.bricodepot.fr/produits/carrelage-stratifie-et-parquet
,Plomberie,,https://www.bricodepot.fr/produits/plomberie
,Peinture et revêtement mural,,https://www.bricodepot.fr/produits/peinture-et-revetement-mural
,Eclairage,,https://www.bricodepot.fr/produits/eclairage
,Electricité,,https://www.bricodepot.fr/produits/electricite
,Outillage,,https://www.bricodepot.fr/produits/outillage
,Quincaillerie,,https://www.bricodepot.fr/produits/quincaillerie
,Quincaillerie et fixation,Quincaillerie,https://www.bricodepot.fr/produits/quincaillerie/quincaillerie-et-fixation
,Sécurité et Contrôle d’Accès,Quincaillerie,https://www.bricodepot.fr/produits/quincaillerie/securite-et-controle-d-acces
,Droguerie et produit d'entretien,Quincaillerie,https://www.bricodepot.fr/produits/quincaillerie/droguerie-et-produit-d-entretien
,"Outillage électroportatif, à main et accessoire",Outillage,https://www.bricodepot.fr/produits/outillage/outillage-electroportatif-a-main-et-accessoire
,"Matériel d’atelier, de chantier et de protection",Outillage,https://www.bricodepot.fr/produits/outillage/materiel-d-atelier-de-chantier-et-de-protection
,Matériel et outillage jardin et arrosage,Outillage,https://www.bricodepot.fr/produits/outillage/materiel-et-outillage-jardin-et-arrosage
,Outillage 1er prix,Outillage,https://www.bricodepot.fr/produits/outillage/outillage-premier-prix
,Installation électrique,Electricité,https://www.bricodepot.fr/produits/electricite/installation-electrique
,Électricité du quotidien,Electricité,https://www.bricodepot.fr/produits/electricite/electricite-du-quotidien
,Domotique et maison connectée,Electricité,https://www.bricodepot.fr/produits/electricite/domotique-et-maison-connectee
,Electricité 1er prix,Electricité,https://www.bricodepot.fr/produits/electricite/electricite-1er-prix
,Eclairage intérieur et de chantier,Eclairage,https://www.bricodepot.fr/produits/eclairage/eclairage-interieur-et-de-chantier
,Eclairage extérieur,Eclairage,https://www.bricodepot.fr/produits/eclairage/eclairage-exterieur
,Ampoule et composant,Eclairage,https://www.bricodepot.fr/produits/eclairage/ampoule-et-composant
,Eclairage 1er prix,Eclairage,https://www.bricodepot.fr/produits/eclairage/eclairage-premier-prix
,Revêtement mural,Peinture et revêtement mural,https://www.bricodepot.fr/produits/peinture-et-revetement-mural/revetement-mural
,Peinture intérieure et préparation des murs,Peinture et revêtement mural,https://www.bricodepot.fr/produits/peinture-et-revetement-mural/peinture-interieure-et-preparation-des-murs
,Peinture extérieure et protection de la façade,Peinture et revêtement mural,https://www.bricodepot.fr/produits/peinture-et-revetement-mural/peinture-exterieure-et-protection-de-la-facade
,Peinture 1er prix,Peinture et revêtement mural,https://www.bricodepot.fr/produits/peinture-et-revetement-mural/peinture-premier-prix
,Distribution et production d’eau,Plomberie,https://www.bricodepot.fr/produits/plomberie/distribution-et-production-d-eau
,Évacuation et traitement de l’eau,Plomberie,https://www.bricodepot.fr/produits/plomberie/evacuation-et-traitement-de-l-eau
,Outil et accessoire du plombier,Plomberie,https://www.bricodepot.fr/produits/plomberie/outil-et-accessoire-du-plombier
,Carrelage et Galet,"Carrelage, stratifié et parquet",https://www.bricodepot.fr/produits/carrelage-stratifie-et-parquet/carrelage-et-galet
,"Stratifié, parquet et sol vinyle PVC","Carrelage, stratifié et parquet",https://www.bricodepot.fr/produits/carrelage-stratifie-et-parquet/stratifie-parquet-et-sol-vinyle-pvc
,"Produit de pose, de finition et d'entretien","Carrelage, stratifié et parquet",https://www.bricodepot.fr/produits/carrelage-stratifie-et-parquet/produit-de-pose-de-finition-et-d-entretien
,Baisse de prix Carrelage,"Carrelage, stratifié et parquet",https://www.bricodepot.fr/produits/carrelage-stratifie-et-parquet/baisse-de-prix-carrelage
,"Fenêtre, baie vitrée, volet","Fenêtre, porte et escalier",https://www.bricodepot.fr/produits/fenetre-porte-et-escalier/fenetre-baie-vitree-volet
,"Porte d'entrée, intérieure et garage","Fenêtre, porte et escalier",https://www.bricodepot.fr/produits/fenetre-porte-et-escalier/porte-d-entree-interieure-et-garage
,Escalier et Balustrade,"Fenêtre, porte et escalier",https://www.bricodepot.fr/produits/fenetre-porte-et-escalier/escalier-et-balustrade
,Radiateur et système de chauffage,"Chauffage, clim et ventilation",https://www.bricodepot.fr/produits/chauffage-clim-et-ventilation/radiateur-et-systeme-de-chauffage
,Climatisation et confort thermique,"Chauffage, clim et ventilation",https://www.bricodepot.fr/produits/chauffage-clim-et-ventilation/climatisation-et-confort-thermique
,Chauffage bois et énergie alternative,"Chauffage, clim et ventilation",https://www.bricodepot.fr/produits/chauffage-clim-et-ventilation/chauffage-bois-et-energie-alternative
,"Chauffage, clim 1er prix","Chauffage, clim et ventilation",https://www.bricodepot.fr/produits/chauffage-clim-et-ventilation/chauffage-clim-premier-prix
